Year,Development regions,Toxicity class,Types of waste,Type of economic activity of waste producer,Waste circulation,Value
2010,,,,,,187
2010,Municipiul chişinău,,,,,79.7
2010,North,,,,,51.4
2010,Center,,,,,41.4
2010,South,,,,,174.7
2010,Atu găgăuzia,,,,,
2010,,I,,,,523.9
2010,,Ii,,,,111.7
2010,,Iii,,,,305.6
2010,,Iv,,,,232.5
2010,,,,,,
2010,,,,,,
2010,,,,,,
2011,,,,,,190.5
2011,Municipiul chişinău,,,,,68.5
2011,North,,,,,34.3
2011,Center,,,,,220.2
2011,South,,,,,19577.8
2011,Atu găgăuzia,,,,,
2011,,I,,,,624.3
2011,,Ii,,,,81.3
2011,,Iii,,,,28.8
2011,,Iv,,,,274.6
2011,,,,,,
2011,,,,,,
2011,,,,,,
2012,,,,,,175.6
2012,Municipiul chişinău,,,,,60.7
2012,North,,,,,50.8
2012,Center,,,,,105.9
2012,South,,,,,9002
2012,Atu găgăuzia,,,,,
2012,,I,,,,460
2012,,Ii,,,,96.4
2012,,Iii,,,,11.7
2012,,Iv,,,,556.9
2012,,,,,,
2012,,,,,,
2012,,,,,,
2013,,,,,,137.2
2013,Municipiul chişinău,,,,,29.7
2013,North,,,,,14.2
2013,Center,,,,,217.2
2013,South,,,,,5187.5
2013,Atu găgăuzia,,,,,
2013,,I,,,,46.4
2013,,Ii,,,,103.1
2013,,Iii,,,,6.3
2013,,Iv,,,,429.8
2013,,,,,,
2013,,,,,,
2013,,,,,,
2014,,,,,,144.8
2014,Municipiul chişinău,,,,,75.2
2014,North,,,,,29
2014,Center,,,,,5.1
2014,South,,,,,3618
2014,Atu găgăuzia,,,,,
2014,,I,,,,20.5
2014,,Ii,,,,66.4
2014,,Iii,,,,25.5
2014,,Iv,,,,1270.6
2014,,,,,,
2014,,,,,,
2014,,,,,,
2015,,,,,,26.14
2015,Municipiul chişinău,,,,,6.8
2015,North,,,,,17.6
2015,Center,,,,,3.5
2015,South,,,,,256.2
2015,Atu găgăuzia,,,,,633.3
2015,,I,,,,0.9
2015,,Ii,,,,12.4
2015,,Iii,,,,54.7
2015,,Iv,,,,29.4
2015,,,,,,
2015,,,,,,
2015,,,,,,
2016,,,,,,113.5
2016,Municipiul chişinău,,,,,36.6
2016,North,,,,,16.4
2016,Center,,,,,64.3
2016,South,,,,,1858.2
2016,Atu găgăuzia,,,,,2100
2016,,I,,,,0
2016,,Ii,,,,94.7
2016,,Iii,,,,46
2016,,Iv,,,,461.5
2016,,,,,,
2016,,,,,,
2016,,,,,,
2017,,,,,,453.9
2017,Municipiul chişinău,,,,,497.5
2017,North,,,,,10
2017,Center,,,,,17.5
2017,South,,,,,13871.7
2017,Atu găgăuzia,,,,,
2017,,I,,,,
2017,,Ii,,,,149.5
2017,,Iii,,,,107.4
2017,,Iv,,,,714.6
2017,,,,,,
2017,,,,,,
2017,,,,,,
2018,,,,,,111.6
2018,Municipiul chişinău,,,,,20.7
2018,North,,,,,29.7
2018,Center,,,,,134.5
2018,South,,,,,6029
2018,Atu găgăuzia,,,,,
2018,,I,,,,51.2
2018,,Ii,,,,32.6
2018,,Iii,,,,334.1
2018,,Iv,,,,639.4
2018,,,,,,
2018,,,,,,
2018,,,,,,
