Year,Water quality,Value
2010,Cl. I,
2010,Cl. II,
2010,Cl. III,
2010,Cl. IV,
2010,Cl. V,
2011,Cl. I,
2011,Cl. II,
2011,Cl. III,
2011,Cl. IV,
2011,Cl. V,
2012,Cl. I,
2012,Cl. II,
2012,Cl. III,
2012,Cl. IV,
2012,Cl. V,
2013,Cl. I,0
2013,Cl. II,0
2013,Cl. III,30
2013,Cl. IV,16
2013,Cl. V,53
2014,Cl. I,0
2014,Cl. II,0
2014,Cl. III,17
2014,Cl. IV,26
2014,Cl. V,57
2015,Cl. I,0
2015,Cl. II,0
2015,Cl. III,22
2015,Cl. IV,20
2015,Cl. V,58
2016,Cl. I,0
2016,Cl. II,0
2016,Cl. III,24
2016,Cl. IV,20
2016,Cl. V,56
2017,Cl. I,0
2017,Cl. II,2
2017,Cl. III,35
2017,Cl. IV,12
2017,Cl. V,51
2018,Cl. I,0
2018,Cl. II,0
2018,Cl. III,26
2018,Cl. IV,21
2018,Cl. V,52
